date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:17	104/104	---M-Z	200	added ('OK')	text/plain	etag:%22a77e94dc97a8b18f1b03338b53f8c9e5%22	https://simplest-task-327740.framer.app/robots.txt		(from )
13:23:18	80560/80560	---M-Z	200	added ('OK')	text/html	etag:%22f19129ec3e38d1beb020f779869dc2e9%22	https://simplest-task-327740.framer.app/	C:/Users/pc/Desktop/framer/CV2/simplest-task-327740.framer.app/index.html	(from )
13:23:19	1127/1127	---MCZ	200	added ('OK')	application/json	etag:W/%22973c449abf1c7e011aad952607195ce4%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/searchIndex-AEZqZwkWpDPl.json	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/searchIndex-AEZqZwkWpDPl.json	(from https://simplest-task-327740.framer.app/)
13:23:19	3677/3677	---M--	200	added ('OK')	image/png	etag:%22c6bff91066e875fbdf309b664c3e30a7%22	https://framerusercontent.com/sites/icons/default-favicon.v3.png	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/icons/default-favicon.v3.png	(from https://simplest-task-327740.framer.app/)
13:23:20	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202024%2004:23:15%20GMT	https://fonts.gstatic.com/	C:/Users/pc/Desktop/framer/CV2/fonts.gstatic.com/index.html	(from https://simplest-task-327740.framer.app/)
13:23:21	447/447	---M--	200	added ('OK')	text/javascript	etag:%22bac0d5b5f6a61029b51079932ccda746%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-ELYU6EKT.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-ELYU6EKT.mjs	(from https://simplest-task-327740.framer.app/)
13:23:21	638940/638940	---MCZ	200	added ('OK')	text/javascript	etag:W/%22de68a7d7f7778a1c52f4fd3ba64b7f0b%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-5THDIQFE.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-5THDIQFE.mjs	(from https://simplest-task-327740.framer.app/)
13:23:22	26813/26813	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ca8ae8c88ec0ee6931b6ffad8e13f993%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/BTK8JQpk5O4TUzXIn7y1JHiOuRw6IRis0gYYrxVpLRc.PKM5KVOH.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/BTK8JQpk5O4TUzXIn7y1JHiOuRw6IRis0gYYrxVpLRc.PKM5KVOH.mjs	(from https://simplest-task-327740.framer.app/)
13:23:23	653/653	---M--	200	added ('OK')	text/javascript	etag:%2277ce3cef327207f601ab9380799b2109%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-Z5ZCJLT2.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-Z5ZCJLT2.mjs	(from https://simplest-task-327740.framer.app/)
13:23:24	166/166	---M--	200	added ('OK')	text/javascript	etag:%2277f2ef2226a1344ff87cf1574a7c8fd4%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-E4CONL2Q.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-E4CONL2Q.mjs	(from https://simplest-task-327740.framer.app/)
13:23:25	582/582	---M--	200	added ('OK')	text/javascript	etag:%22880c9c8ab5b5a30ff19047fa85187449%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-E4TLCME6.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-E4TLCME6.mjs	(from https://simplest-task-327740.framer.app/)
13:23:26	44/44	---M--	200	added ('OK')	text/javascript	etag:%22f5fe0cab78140e0e5aa29f68ce8c2888%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-42U43NKG.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/chunk-42U43NKG.mjs	(from https://simplest-task-327740.framer.app/)
13:23:27	3220/3220	---MCZ	200	added ('OK')	text/javascript	etag:W/%22bfaaf1b9baa5d6ae693881cb6e97cb40%22	https://framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/script_main.H5YV6K3E.mjs	C:/Users/pc/Desktop/framer/CV2/framerusercontent.com/sites/pap68Y9jCCNkrXemrO5NT/script_main.H5YV6K3E.mjs	(from https://simplest-task-327740.framer.app/)
13:23:27	25888/25888	---M--	200	added ('OK')	font/woff2	date:Mon,%2029%20Jul%202024%2022:51:23%20GMT	https://fonts.gstatic.com/s/inter/v18/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa2JL7SUc.woff2	C:/Users/pc/Desktop/framer/CV2/fonts.gstatic.com/s/inter/v18/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa2JL7SUc.woff2	(from https://simplest-task-327740.framer.app/)
